_id,Expediente,Nombre,IdMunicipio,IdConcejo,Concejo,Email,Lote,IdEspecie,Column1,Especie,CodTipoClasificacion,Clasificación,Volumen,Certificación,Fecha autorización,Fecha licencia de corta
1,3120164068,AYUNTAMIENTO DE OBANOS,183,0,"",obanos@infolocal.org,LOTE 01,14,IdEspecie,Pino alepo,6,Tronquillo,"405,00",PEFC,2022-08-19T00:00:00,
2,3120164068,AYUNTAMIENTO DE OBANOS,183,0,"",obanos@infolocal.org,LOTE 01,15,IdEspecie,Pino laricio (austria),6,Tronquillo,"3125,00",PEFC,2022-08-19T00:00:00,
3,3120164068,AYUNTAMIENTO DE OBANOS,183,0,"",obanos@infolocal.org,LOTE 02,15,IdEspecie,Pino laricio (austria),6,Tronquillo,"1020,00",PEFC,2022-08-19T00:00:00,
4,3120164181,AYUNTAMIENTO DE SANTESTEBAN-DONEZTEBE,221,0,"",santesteban@doneztebe.es,LOTE 01,17,IdEspecie,Pino radiata,2,Madera,"269,95",PEFC,2021-01-06T00:00:00,2021-05-08T00:00:00
5,3120164181,AYUNTAMIENTO DE SANTESTEBAN-DONEZTEBE,221,0,"",santesteban@doneztebe.es,LOTE 01,17,IdEspecie,Pino radiata,6,Tronquillo,"89,98",PEFC,2021-01-06T00:00:00,2021-05-08T00:00:00
6,3120164181,AYUNTAMIENTO DE SANTESTEBAN-DONEZTEBE,221,0,"",santesteban@doneztebe.es,LOTE 01,22,IdEspecie,Roble Americano,2,Madera,"1018,64",PEFC,2021-01-06T00:00:00,2021-05-08T00:00:00
7,3120164181,AYUNTAMIENTO DE SANTESTEBAN-DONEZTEBE,221,0,"",santesteban@doneztebe.es,LOTE 01,22,IdEspecie,Roble Americano,6,Tronquillo,"569,61",PEFC,2021-01-06T00:00:00,2021-05-08T00:00:00
8,3120164194,CONCEJO DE EGUILLOR,194,79,BEASOAIN-EGILLOR,concejobe@gmail.com,LOTE 01,21,IdEspecie,Roble Común,7,Varios productos,"1881,00",PEFC,2020-12-14T00:00:00,
9,3120184079,CONCEJO DE HUICI-UITZI,144,307,UITZI,"",LOTE 01,10,IdEspecie,Haya,5,Leña,"1121,20",PEFC,2021-01-18T00:00:00,
10,3120184079,CONCEJO DE HUICI-UITZI,144,307,UITZI,"",LOTE 01,10,IdEspecie,Haya,2,Madera,"265,10",PEFC,2021-01-18T00:00:00,
11,3120184079,CONCEJO DE HUICI-UITZI,144,307,UITZI,"",LOTE 02,3,IdEspecie,Abeto rojo,5,Leña,"164,00",PEFC,2021-01-18T00:00:00,
12,3120184079,CONCEJO DE HUICI-UITZI,144,307,UITZI,"",LOTE 02,5,IdEspecie,Alerce,2,Madera,"377,20",PEFC,2021-01-18T00:00:00,
13,3120184117,AYUNTAMIENTO DE PUENTE LA REINA/GARES,206,0,"",puente@infolocal.org,LOTE 01,14,IdEspecie,Pino alepo,2,Madera,"5516,85",PEFC,2022-08-22T00:00:00,2022-10-20T00:00:00
14,3120184117,AYUNTAMIENTO DE PUENTE LA REINA/GARES,206,0,"",puente@infolocal.org,LOTE 01,15,IdEspecie,Pino laricio (austria),2,Madera,"17170,79",PEFC,2022-08-22T00:00:00,2022-10-20T00:00:00
15,3120184117,AYUNTAMIENTO DE PUENTE LA REINA/GARES,206,0,"",puente@infolocal.org,LOTE 01,18,IdEspecie,Pino silvestre,2,Madera,"3023,14",PEFC,2022-08-22T00:00:00,2022-10-20T00:00:00
