,title,movie_url,release_year,rating,runtime,genres,cast,description
0,A Christmas Story,/title/tt0085334/,(1983),7.9,93 min,"Comedy, Family","PG
|
93 min
|

Comedy, Family","PG
|
93 min
|

Comedy, Family"
1,Black Adam,/title/tt6443346/,(2022),6.7,125 min,"Action, Adventure, Fantasy","PG-13
|
125 min
|

Action, Adventure, Fantasy","PG-13
|
125 min
|

Action, Adventure, Fantasy"
2,Love Actually,/title/tt0314331/,(2003),7.6,135 min,"Comedy, Drama, Romance","R
|
135 min
|

Comedy, Drama, Romance","R
|
135 min
|

Comedy, Drama, Romance"
3,Where the Crawdads Sing,/title/tt9411972/,(2022),7.1,125 min,"Drama, Mystery, Thriller","PG-13
|
125 min
|

Drama, Mystery, Thriller","PG-13
|
125 min
|

Drama, Mystery, Thriller"
4,Avatar,/title/tt0499549/,(2009),7.8,162 min,"Action, Adventure, Fantasy","PG-13
|
162 min
|

Action, Adventure, Fantasy","PG-13
|
162 min
|

Action, Adventure, Fantasy"
5,Elf,/title/tt0319343/,(2003),7.0,97 min,"Adventure, Comedy, Family","PG
|
97 min
|

Adventure, Comedy, Family","PG
|
97 min
|

Adventure, Comedy, Family"
6,Enchanted,/title/tt0461770/,(2007),7.1,107 min,"Animation, Adventure, Comedy","PG
|
107 min
|

Animation, Adventure, Comedy","PG
|
107 min
|

Animation, Adventure, Comedy"
7,Amsterdam,/title/tt10304142/,(2022),6.1,134 min,"Comedy, Drama, History","R
|
134 min
|

Comedy, Drama, History","R
|
134 min
|

Comedy, Drama, History"
8,How the Grinch Stole Christmas,/title/tt0170016/,(2000),6.2,104 min,"Comedy, Family, Fantasy","PG
|
104 min
|

Comedy, Family, Fantasy","PG
|
104 min
|

Comedy, Family, Fantasy"
9,The Batman,/title/tt1877830/,(2022),7.8,176 min,"Action, Crime, Drama","PG-13
|
176 min
|

Action, Crime, Drama","PG-13
|
176 min
|

Action, Crime, Drama"
10,Pearl,/title/tt18925334/,(2022),7.0,103 min,Horror,"R
|
103 min
|

Horror","R
|
103 min
|

Horror"
11,Guillermo del Toro's Pinocchio,/title/tt1488589/,(2022),8.0,117 min,"Animation, Drama, Family","PG
|
117 min
|

Animation, Drama, Family","PG
|
117 min
|

Animation, Drama, Family"
